Sensor Position,Cp for -6.0°,Cp for -5.0°,Cp for -4.0°,Cp for -3.0°,Cp for -2.0°,Cp for -1.0°,Cp for 0.0°,Cp for 1.0°,Cp for 2.0°,Cp for 3.0°,Cp for 4.0°,Cp for 5.0°,Cp for 6.0°,Cp for 7.0°,Cp for 8.0°,Cp for 9.0°,Cp for 9.34°,Cp for 10.0°,Cp for 10.5°,Cp for 11.0°,Cp for 11.5°,Cp for 12.0°,Cp for 12.5°,Cp for 13.0°,Cp for 13.5°,Cp for 14.0°,Cp for 14.5°,Cp for 15.0°,Cp for 15.5°,Cp for 16.0°,Cp for 9.5°
0.43123,-0.1941855460935501,-0.12514841482900269,-0.0688286498500298,-0.06817342254726015,-0.09590145067810298,-0.11326497420149863,-0.13283244410693765,-0.14093343621390783,-0.14930247585382925,-0.14379260989872084,-0.14504349838582653,-0.13846144229891327,-0.13813382864752843,-0.13119437585001353,-0.1363170620353035,-0.14519241368191055,-0.20115478195028183,-0.25157750120432787,-0.3120073283552195,-0.377559841691401,-0.4172010935089647,-0.5247477203408373,-0.5779104810428292,-0.6092720423981218,-0.5792209356483684,-0.5226629061956611,-0.4348922306837452,-0.37604090567134413,-0.31182862999991867,-0.25530038360642815,-0.19207094888915713
1.47147,-0.018405930595983735,-0.013968254772680216,-0.016886994575926826,-0.034369650336189696,-0.050958814319948496,-0.06251464129606774,-0.07910380527982654,-0.08514976630083738,-0.09402511794744443,-0.09062984919672898,-0.09345923982232518,-0.09560362008593495,-0.10230480840971544,-0.10153044887007859,-0.11389041844505148,-0.14161844657589429,-0.20663486484617338,-0.25833825564654195,-0.3195722253962872,-0.38744781735137934,-0.4277442964717127,-0.5039293619482925,-0.558521709492691,-0.5968227236454985,-0.5596832488021463,-0.49946190306577226,-0.41219753956054195,-0.38518430485090244,-0.3179937232577967,-0.261644175219607,-0.01748265576026287
3.92479,0.08324365051096204,0.045985043430742535,0.0317189580658943,0.020580093918810296,0.01224083733810569,0.004973770889205961,-0.007267066448899727,-0.010096457074495933,-0.017274174345745255,-0.01915050707640379,-0.02245642664946883,-0.035144009875826554,-0.04482350412128726,-0.0536988557678943,-0.07058585034382113,-0.11564761893884279,-0.18927134132277773,-0.24568045547940104,-0.3123051589473875,-0.37878094711928995,-0.4167841306799295,-0.46151828562356634,-0.519684600273981,-0.5610830525853359,-0.5162595484640488,-0.4506176859502168,-0.37112670090057176,-0.3717521451441246,-0.30664637769619507,-0.24722917455867477,0.0867580514985447
7.79506,0.11004840380608401,0.07234305083761246,0.06510576744792952,0.0591193725453523,0.05709412451860975,0.0522692689254878,0.04113040477840379,0.039968865468948504,0.02936609638776693,0.023081870893021675,0.01620198421394038,-0.007118151152815717,-0.02314143701145528,-0.039194505929311646,-0.06504620132949593,-0.11811961285383737,-0.19445359362650133,-0.25369209840872087,-0.3232653247391707,-0.3902772079769755,-0.4291143171956856,-0.4468948035481165,-0.5027082565204037,-0.5456852109702492,-0.49925342165125464,-0.43286698265700263,-0.3618343864249295,-0.3861075796866232,-0.3213889920085121,-0.25845738788340916,0.10858903390446069
12.0143,0.107338145417355,0.09923715331038481,0.10668291811458534,0.12106813571630079,0.12845433440206774,0.12839476828363414,0.11603479870866124,0.11400955068191869,0.09983281449472085,0.08771110939348237,0.07791248291115446,0.03916472287009484,0.018257015299899725,-0.004437675823303522,-0.030200022045837396,-0.08631130561029267,-0.1512085916437046,-0.21107254066947695,-0.26661794610881295,-0.3097140327955257,-0.3347020194784227,-0.3404203668480487,-0.3794659574812764,-0.421817467687569,-0.3801807509024796,-0.33237894085951214,-0.27620809117662326,-0.3044722143733685,-0.26626054939821137,-0.2162547929732005,0.10858903390446069
16.32276,1.0261753053149185,1.0651315467704958,1.0259966069596178,0.8094142003350323,0.4169330459760135,-0.16875081352240104,-0.9217856827600269,-1.8365127804856718,-2.8488985293832108,-3.8841278847000376,-4.2011387670036795,-4.661852910028392,-5.115925430847758,-4.802339600354048,-5.455422522860086,-6.118929516092004,-6.310315454619176,-6.020645420676558,-5.494617028789397,-5.026189073427533,-4.418852929878503,-1.3839591956863628,-1.2705155231295635,-1.1839957361047533,-1.252347857007314,-1.418269279904119,-1.7411772079326882,-4.965520981802907,-5.526127505440774,-5.929926222302178,1.0168234247208428
20.67013,0.15385928391399997,0.5625424224869593,0.8175449755012194,0.9718807883626882,1.056375327360756,1.046725616174512,0.9829600863913387,0.8923600202538264,0.7164017064009592,0.48504690240484005,0.4275953811756286,0.2784418206178834,0.17038888177932518,0.02352861678127371,-0.09274444640112194,-0.2093153401756856,-0.23978340975447424,-0.2662009832797777,-0.25095205696077505,-0.19177311829698912,-0.09292314475642274,0.6691955575423278,0.729684950811653,0.770487741938672,0.7313825851870107,0.6585630054019295,0.5364226795538238,-0.18641216763796475,-0.2586658692979268,-0.26646903081272894,0.1681849353972818
25.03792,-0.1815277459264092,0.11070363110885365,0.32680950878597015,0.5083670377715961,0.6876312711975283,0.809324851157382,0.8879521274897396,0.9834068322795906,1.018878455806802,1.022928951860287,1.037075904988268,1.0256987763674497,1.0349315247246584,1.014232298568981,1.014827959753317,0.9960348493875147,0.9966305105718508,0.9928480620513169,0.9872190638593413,0.9975835684667884,0.9989833722499782,1.0353782706129104,1.0467553992337288,1.037880047587122,1.0344252127179727,1.0370461219290512,1.0373439525212194,0.9920439194524632,0.987397762214642,0.9844194562929618,-0.16845298293023303
29.41554,-0.22840628113365577,-0.033654856914986445,0.12017464393979674,0.25705758410021945,0.39087286916131164,0.5090818311927994,0.5993245006197099,0.7050245777801408,0.7845155628297859,0.8420862162958644,0.8702312072557424,0.8927472000236448,0.9243172427934552,0.9329841130255445,0.9580018827676584,0.9614269345775907,0.9742634331000324,0.9779267493836991,0.9775097865546637,0.981262452015981,0.973131676849794,0.8935811256817152,0.89605311959671,0.8763069513359701,0.8847951232127587,0.8988527271630893,0.9233939679577343,0.9748888773435852,0.9764673794820757,0.9700640217504632,-0.21836939017759344
33.79772,-0.22381969001426827,-0.08470302041258536,0.02686431941355555,0.12753105956634686,0.22501101238294033,0.3180830724354471,0.3929576833064877,0.4857616958260433,0.5601299946903983,0.6229722496378508,0.6467689139520758,0.6739608470170161,0.7051139269577912,0.720660683868962,0.7499374310790785,0.7598849728574903,0.775014766939626,0.7815670399673225,0.7824903148030433,0.7863323294420107,0.7810011618422031,0.6964768397849186,0.6974894637982898,0.6789644009654389,0.6885247629740324,0.703952387648336,0.7283149300876801,0.7817159552634064,0.7827285792767776,0.7754317297686611,-0.2170291525128374
